"","Sample_1S10","Sample_1S11","Sample_1S12","Sample_1S13","Sample_1S14","Sample_1S15","Sample_1S16","Sample_1S17","Sample_1S18","Sample_1S19","Sample_1S1","Sample_1S20","Sample_1S21","Sample_1S22","Sample_1S23","Sample_1S24","Sample_1S25","Sample_1S2","Sample_1S3","Sample_1S4","Sample_1S5","Sample_1S6","Sample_1S7","Sample_1S8","Sample_1S9","Sample_2S10","Sample_2S11","Sample_2S12","Sample_2S13","Sample_2S14","Sample_2S15","Sample_2S16","Sample_2S17","Sample_2S18","Sample_2S19","Sample_2S1","Sample_2S20","Sample_2S21","Sample_2S22","Sample_2S23","Sample_2S24","Sample_2S25","Sample_2S2","Sample_2S3","Sample_2S4","Sample_2S5","Sample_2S6","Sample_2S7","Sample_2S8","Sample_2S9","Sample_3S10","Sample_3S11","Sample_3S12","Sample_3S13","Sample_3S14","Sample_3S15","Sample_3S16","Sample_3S17","Sample_3S18","Sample_3S19","Sample_3S1","Sample_3S20","Sample_3S21","Sample_3S22","Sample_3S23","Sample_3S24","Sample_3S25","Sample_3S2","Sample_3S3","Sample_3S4","Sample_3S5","Sample_3S6","Sample_3S7","Sample_3S8","Sample_3S9","Sample_4S10","Sample_4S11","Sample_4S12","Sample_4S13","Sample_4S14","Sample_4S15","Sample_4S16","Sample_4S17","Sample_4S18","Sample_4S19","Sample_4S1","Sample_4S20","Sample_4S21","Sample_4S22","Sample_4S23","Sample_4S24","Sample_4S25","Sample_4S2","Sample_4S3","Sample_4S4","Sample_4S5","Sample_4S6","Sample_4S7","Sample_4S9","Sample_N10","Sample_N11","Sample_N12","Sample_N13","Sample_N14","Sample_N15","Sample_N16","Sample_N17","Sample_N18","Sample_N19","Sample_N1","Sample_N20","Sample_N21","Sample_N22","Sample_N23","Sample_N24","Sample_N25","Sample_N26","Sample_N27","Sample_N28","Sample_N29","Sample_N2","Sample_N30","Sample_N31","Sample_N32","Sample_N33","Sample_N34","Sample_N35","Sample_N36","Sample_N37","Sample_N38","Sample_N39","Sample_N3","Sample_N40","Sample_N41","Sample_N42","Sample_N43","Sample_N44","Sample_N45","Sample_N46","Sample_N47","Sample_N48","Sample_N49","Sample_N4","Sample_N50","Sample_N5","Sample_N6","Sample_N7","Sample_N8","Sample_N9","Sample_Pan01","Sample_Pan02","Sample_Pan03","Sample_Pan04","Sample_Pan05","Sample_Pan06","Sample_PC10","Sample_PC11","Sample_PC12","Sample_PC13","Sample_PC14","Sample_PC15","Sample_PC16","Sample_PC17","Sample_PC18","Sample_PC19","Sample_PC1","Sample_PC20","Sample_PC21","Sample_PC22","Sample_PC23","Sample_PC24","Sample_PC25","Sample_PC26","Sample_PC27","Sample_PC28","Sample_PC29","Sample_PC2","Sample_PC30","Sample_PC31","Sample_PC32","Sample_PC33","Sample_PC34","Sample_PC35","Sample_PC36","Sample_PC3","Sample_PC4","Sample_PC5","Sample_PC6","Sample_PC7","Sample_PC8","Sample_PC9"
"T147505|T147505|14770",1,0,0,2,0,0,0,0,0,1,2,2,0,0,1,0,2,2,1,0,0,0,4,2,0,1,0,1,2,0,1,1,2,0,1,1,0,2,0,1,0,1,2,0,0,0,2,0,1,0,1,1,5,0,3,0,2,0,0,1,1,1,0,0,0,0,1,2,2,2,0,0,2,0,1,1,1,1,1,0,1,2,3,0,2,0,0,0,0,0,3,1,0,2,0,3,0,0,0,1,1,1,4,1,0,1,0,2,0,2,0,2,4,1,1,0,0,3,1,0,0,1,0,0,0,2,1,0,0,1,1,3,5,3,1,1,3,1,0,0,0,0,2,0,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,1,1,1,1,2,1,0,0,0,1,0,0,1,2,0,0,1,2,2,1,1,0,2
"T148953|T148953|8746",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,3,0,5,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T149369|T149369|7272",0,0,0,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,2,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"T149669|T149669|33311",1,1,3,3,1,0,0,1,1,2,1,0,1,2,1,0,0,1,1,2,1,2,1,4,0,0,0,0,2,0,0,2,2,1,2,0,1,0,1,1,0,2,2,0,0,2,0,1,0,0,3,1,2,1,2,1,1,1,2,2,2,0,0,1,0,0,1,1,1,2,4,0,5,0,3,0,2,2,2,0,1,2,0,1,2,3,0,1,1,0,2,1,1,1,2,2,0,1,0,3,1,1,2,1,0,2,4,1,0,1,2,0,2,2,0,3,0,0,0,0,0,1,0,0,0,1,6,0,0,1,1,2,2,3,1,0,2,1,0,1,0,0,3,3,2,0,2,3,2,0,0,0,1,1,1,0,1,0,0,2,3,2,0,2,3,3,0,1,0,0,1,1,0,0,3,0,1,1,0,4,2,2,0,1,0,0,3,3,2,0,2
"T149881|T149881|27239",1,3,2,0,0,1,1,2,1,0,1,0,2,0,3,0,0,1,2,0,2,2,0,1,0,1,4,1,0,2,0,1,0,1,2,2,1,2,0,0,1,3,1,3,0,2,3,5,2,2,1,4,3,0,0,0,1,0,0,0,4,0,1,0,0,0,2,1,3,1,3,2,2,1,1,1,3,3,1,0,1,4,0,2,1,5,0,0,0,1,1,1,2,2,0,1,1,0,1,2,0,0,0,1,2,1,4,5,0,0,3,0,2,0,1,0,0,0,1,1,0,0,1,2,3,2,1,0,0,1,0,1,3,1,0,1,1,0,0,1,1,2,1,1,3,0,1,2,2,0,0,1,0,0,0,3,0,1,1,3,2,3,0,2,4,1,1,1,1,0,3,1,1,0,0,2,0,1,3,3,0,3,0,0,0,6,3,0,5,0,0
"T150331|T150331|6436",0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,2,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,5,1,3,3,0,0,0,3,0,0,0,0,1,1,0,2,0,0,2,0,0,0,3,0,0,2,2,0,0,2,1,0,0,3,0,1,1,0,0,0,1,0,0,4,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,2,0,1,0,2
"T151780|T151780|13084",89,203,63,25,40,34,47,74,95,34,56,35,27,165,33,12,29,66,75,143,292,145,38,78,69,20,34,37,37,49,26,36,47,36,44,97,79,95,39,8,28,62,47,48,54,153,152,46,26,45,44,62,29,52,94,63,129,37,58,55,78,32,40,22,24,97,42,50,58,172,144,112,25,66,9,57,32,14,27,24,35,76,41,173,80,61,62,34,36,24,30,53,23,118,125,125,202,6,14,38,71,32,60,32,52,75,60,118,38,44,43,37,53,77,90,34,29,27,84,42,38,32,38,44,70,39,75,47,32,52,28,25,102,50,86,32,74,32,38,8,8,14,65,23,53,46,49,45,68,11,8,20,33,26,6,155,112,160,84,33,75,8,29,55,39,79,35,57,26,42,60,29,50,43,77,55,28,50,37,42,47,33,17,41,49,147,135,89,380,226,105
"T151897|T151897|39723",0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,2,0,1,0,0,0,0,1,1,0,0,2,0,0,3,1,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,2,1,2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,0,2,3,2,5,0,1,1,0,1,2,1,2,3,1,0,1,1,0,2,1,0,1,2,0,1,2,1,0,1,0,1,0,4,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,0,2,2,0,2,0,0,1,0,1,0,1,2,1,0,0,0,0,2
"T152558|T152558|15006",12,23,8,7,3,4,6,14,4,5,4,4,2,4,5,3,7,2,19,12,27,13,14,20,9,3,3,9,5,9,3,7,9,2,11,10,8,14,4,4,2,11,11,15,8,27,24,13,12,10,6,4,10,2,10,5,12,9,9,8,8,10,10,2,1,14,6,16,11,37,35,13,9,17,3,10,1,5,3,3,4,15,2,10,15,14,2,7,8,2,12,5,3,24,18,16,11,3,3,12,16,8,14,8,5,11,4,11,11,11,9,1,5,8,15,8,6,5,7,12,5,4,3,5,12,3,8,5,4,10,6,8,15,9,7,9,10,6,12,1,2,1,8,7,18,7,8,5,9,4,3,3,6,3,1,19,19,22,3,3,2,2,3,10,11,10,9,8,2,8,10,13,10,6,15,12,9,8,10,3,5,2,4,12,8,23,19,20,39,22,15
"T153782|T153782|18383",0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,3,1,0,2,2,1,1,1,1,1,0,1,1,1,1,0,1,2,0,3,0,1,0,0,1,2,0,1,0,1,1,1,2,0,1,3,2,1,0,17,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,6,1,3,1,2,1,0,1,3,0,0,1,2,1,0,4,1,0,1,1,1,0,0,1,2,1,0,0,0,1,1,0,2,2,0,4,0,1,1,2,1,1,0,0,0,1,0,7,0,1,1,4,2,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,3,0,1,1,0,3,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,2,7,2,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,3,2,1,2,0,2
"T153795|T153795|14544",4,6,14,1,2,4,1,4,3,3,5,4,0,4,4,5,6,4,3,6,2,3,4,4,4,4,2,13,2,4,3,2,1,2,5,3,6,5,3,8,7,6,1,11,3,1,3,6,1,0,10,6,12,6,8,3,1,2,4,5,11,0,3,2,7,9,3,4,4,10,5,3,4,4,1,13,4,5,2,2,2,6,0,0,6,1,2,3,5,5,7,4,1,6,4,2,5,3,5,1,2,5,1,4,2,5,3,4,6,4,8,1,1,2,7,3,1,1,2,1,3,0,4,3,5,1,2,2,3,5,6,3,5,3,3,3,5,10,2,5,6,6,2,3,7,3,5,4,6,2,1,1,1,2,4,0,4,4,7,5,8,14,3,10,9,6,1,1,5,3,10,4,5,4,5,2,3,5,7,3,3,3,2,4,7,15,11,10,5,3,1
"T154130|T154130|7689",0,0,0,0,3,1,0,0,1,1,0,0,1,1,1,1,0,4,0,0,1,2,2,2,4,1,0,1,1,1,1,0,0,1,1,0,1,0,2,3,0,1,0,2,2,2,2,1,0,1,3,1,1,0,0,1,0,0,2,0,5,0,0,0,0,0,1,1,4,0,0,1,1,1,1,1,1,1,0,1,0,4,0,1,0,3,0,0,0,0,0,1,0,1,0,3,0,0,3,4,0,0,2,0,0,0,1,1,0,1,0,1,2,1,1,0,0,0,1,1,2,0,1,1,0,3,0,1,1,1,1,3,1,1,2,0,0,0,1,0,0,0,2,2,3,3,4,2,2,1,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,0,0,1,1,0,1,0,1,2,2,1,2,0,1,1,0,0,0,1,1,1,3,0,1,0,0
"T154947|T154947|15957",0,1,1,1,1,0,0,1,0,1,1,1,0,2,3,0,2,2,1,1,2,2,3,2,0,0,3,1,1,0,0,1,1,0,2,0,2,1,1,1,0,2,2,0,0,0,0,3,0,1,6,1,8,0,2,1,0,2,0,0,1,0,1,0,1,0,1,2,0,2,1,0,1,3,1,1,1,2,0,1,1,5,2,0,1,0,1,0,0,0,2,1,0,0,0,0,4,2,3,1,1,1,2,0,0,2,1,3,1,5,1,1,1,1,0,0,1,2,2,0,0,0,2,1,2,1,1,2,1,1,0,0,2,1,0,0,1,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
"T155128|T155128|13873",8,9,5,1,2,3,1,5,1,3,1,0,2,0,2,0,6,5,6,4,4,2,2,1,6,1,2,1,1,5,1,1,1,1,1,2,2,2,1,1,1,2,2,3,3,6,1,2,2,3,5,3,3,0,2,2,4,1,0,2,6,1,0,2,0,6,1,2,5,5,8,2,2,0,0,4,0,0,0,0,1,5,1,2,4,0,1,1,6,3,1,1,1,2,5,3,3,2,4,2,2,3,4,1,3,1,4,4,4,4,1,3,2,1,5,1,3,0,3,4,0,1,1,0,2,2,1,4,3,1,0,1,5,0,0,2,1,6,1,0,0,0,3,3,9,3,5,3,1,0,0,0,2,1,3,3,6,3,0,2,1,0,0,1,3,0,6,4,3,3,4,1,0,2,3,4,2,1,0,4,2,3,0,2,4,8,2,7,7,2,2
"T155200|T155200|11177",0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,1,0,2,1,2,0,0,1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,4,2,0,0,1,2,1,0,0,0,0,0,0,2,0,0,1,2,0,2,0,1,1,2,4,0,0,1,1,0,4,0,0,0,0,2,0,1,0,2,1,0,2,0,0,1,1,2,0,1,1,1,3,2,1,1,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,3,3,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"T155630|T155630|19724",3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,2,0,11,1,0,0,0,1,12,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3
"T155841|T155841|8740",0,1,2,2,0,0,0,3,0,3,2,0,2,0,1,0,0,2,1,0,0,1,0,2,2,2,1,1,2,1,0,1,2,3,2,1,2,0,0,1,1,0,0,1,3,2,0,0,0,0,2,1,1,3,0,2,4,2,2,2,1,3,1,1,0,0,0,0,0,1,1,1,3,1,3,2,1,0,0,0,1,1,1,0,3,3,1,5,0,0,1,1,1,4,1,0,1,2,1,0,4,0,0,0,2,0,1,0,1,0,0,1,2,6,1,0,3,0,1,0,1,1,0,0,3,0,0,0,2,2,0,1,1,4,1,0,2,1,0,3,0,4,1,1,1,1,0,0,1,0,0,0,0,0,0,2,1,1,3,1,3,0,3,0,0,1,2,2,1,2,2,3,2,1,2,2,1,0,2,0,0,0,3,0,6,0,6,4,0,0,1
"T155873|T155873|8325",4,8,12,3,8,3,4,10,8,7,11,4,5,7,8,8,9,17,9,6,8,6,14,12,16,16,25,16,10,4,10,13,6,12,5,20,9,11,12,9,9,13,14,23,8,20,17,24,9,3,3,14,4,4,6,7,4,2,5,3,10,3,2,6,8,6,2,18,5,5,8,4,9,9,10,14,13,20,6,3,20,4,5,11,7,10,5,8,7,1,11,5,6,23,9,6,4,11,15,18,5,9,6,12,11,13,12,9,7,10,13,9,6,4,10,5,13,6,4,4,7,3,8,4,15,7,7,7,3,6,6,17,13,1,9,0,17,19,3,6,8,18,9,5,10,14,9,19,20,0,0,0,0,2,0,5,7,7,13,15,8,21,9,6,6,17,9,7,9,6,4,1,7,10,8,3,5,3,11,6,2,4,3,7,8,14,10,20,12,5,6
"T156391|T156391|4518",2,0,1,0,0,1,0,2,1,0,1,1,0,1,3,0,2,0,2,1,1,1,0,2,0,0,2,2,2,0,0,0,1,3,2,1,0,1,3,0,2,0,0,2,2,2,0,1,0,1,3,1,2,0,0,2,3,0,1,0,1,2,0,0,0,0,0,2,2,0,2,2,0,2,3,1,1,1,2,0,0,2,1,3,3,4,2,1,2,0,1,0,1,5,1,1,0,0,2,1,0,1,0,1,1,1,2,1,0,0,2,1,0,0,3,0,2,0,0,0,2,0,0,1,0,1,2,0,1,0,1,0,2,2,0,1,2,0,0,0,0,5,0,2,1,3,0,1,2,0,0,0,0,0,0,0,0,1,1,1,2,0,1,5,0,3,0,0,0,0,1,1,1,0,1,1,1,2,0,0,0,2,0,2,2,4,2,0,2,1,1
"T156472|T156472|8978",0,0,1,2,3,0,0,0,0,2,1,0,0,1,0,2,1,1,2,1,0,0,0,2,0,3,4,6,0,1,0,0,0,0,1,0,0,1,1,2,0,0,2,1,1,2,0,0,1,0,0,3,3,1,1,0,1,0,3,0,0,1,3,0,0,1,0,1,2,1,0,1,2,0,1,1,3,3,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,5,0,1,0,1,3,0,0,1,0,0,2,1,0,3,0,1,1,0,3,1,4,2,1,0,2,0,1,1,0,1,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,4,1,0,2,0,0,0,0,2,1,2,1,2,0,0,0,2,0,2,0,2,3,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,2,5,0,2,0,2,0
"T156490|T156490|27899",3,3,6,4,3,2,6,6,1,4,4,6,4,6,5,4,4,3,3,3,9,8,1,5,6,1,8,4,2,2,1,5,7,3,7,3,10,2,5,3,6,3,5,9,3,4,3,6,3,4,3,5,8,5,1,1,3,5,9,2,3,2,3,5,8,3,4,4,4,5,9,4,5,5,6,13,2,6,2,1,1,5,5,2,3,6,6,4,9,2,2,5,6,8,3,0,4,5,7,1,9,7,2,2,7,0,4,3,5,4,0,0,5,2,7,1,4,4,3,5,6,8,3,5,2,8,1,5,8,2,7,2,10,6,6,5,6,9,3,5,3,13,9,6,4,4,2,4,1,5,2,1,0,5,5,7,5,4,4,4,3,4,2,6,5,6,6,5,1,3,6,4,4,3,2,5,2,4,6,6,2,2,8,2,6,4,4,6,9,0,3
"T156754|T156754|9393",138,214,155,100,68,72,110,92,96,115,157,122,78,158,131,143,207,142,158,177,174,182,174,193,154,153,278,174,112,145,75,100,127,105,55,168,83,98,118,126,154,188,181,234,90,201,308,139,187,215,221,173,112,125,90,70,158,126,102,130,215,137,118,132,174,96,161,186,184,307,261,166,138,125,217,153,187,113,93,67,107,197,100,85,87,205,87,77,114,61,94,117,154,79,161,226,153,211,180,224,273,205,169,133,147,146,176,225,189,214,162,154,199,203,202,90,110,104,131,116,131,115,123,116,106,91,79,99,95,117,110,145,113,115,81,88,76,122,122,147,221,181,137,186,150,270,168,140,223,48,41,57,37,52,45,209,246,227,273,219,178,255,252,198,194,246,189,89,143,84,89,124,84,92,185,102,236,156,92,112,94,145,106,91,199,101,104,192,133,188,266
"T157162|T157162|18775",0,3,0,1,0,2,0,0,1,1,2,0,0,0,4,1,0,0,0,2,0,3,1,1,0,3,2,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,2,1,1,0,5,1,1,2,2,5,2,1,0,0,3,1,1,1,3,0,3,0,0,0,0,0,1,1,1,0,0,0,1,1,5,1,0,1,0,3,3,0,0,1,1,2,1,1,1,1,2,2,1,1,1,3,0,0,0,0,2,1,0,2,1,0,3,2,1,0,0,1,2,3,2,0,0,2,1,0,1,1,2,0,0,0,1,0,2,2,1,1,1,1,0,1,0,0,1,2,1,2,1,1,2,0,1,0,0,1,0,0,0,0,1,2,1,1,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2
"T157209|T157209|5914",0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,1,1,0,0,0,0,1,1,1,0,1,0,3,0,1,0,0,0,2,1,1,0,1,1,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,1,0,1,2,1,0,1,1,0,0,1,0,0,0,2,0,1,1,2,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0
"T157245|T157245|9489",3,1,1,1,0,0,0,0,1,0,1,1,0,0,2,1,0,1,0,1,0,0,0,0,1,2,2,0,2,0,2,0,1,1,2,1,3,2,0,1,0,1,2,2,0,1,1,3,2,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,2,0,0,2,0,0,2,1,0,0,0,0,1,3,3,0,1,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2,1,1,0,2,1,3,2,1,2,1,1,1,0,0,1,3,1,1,1,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,3,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,1,1,2,1,0,1,1,0
"T157742|T157742|31714",4,7,0,1,0,1,0,2,0,0,0,3,0,4,1,1,3,0,1,2,2,1,0,2,0,1,2,0,0,0,1,2,1,0,3,0,0,0,0,0,0,2,0,0,1,5,0,4,2,0,2,0,10,0,1,0,1,1,0,1,5,1,0,0,0,0,0,0,4,1,2,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,3,0,1,0,0,1,1,4,2,4,0,3,2,1,0,1,1,0,3,0,2,5,2,0,2,0,0,1,0,3,1,0,1,1,0,1,2,0,0,0,0,0,2,0,0,2,1,1,0,1,0,1,0,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,1,2,1,1,0,0,2,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,1,2,3,4,0,4,2,1
"T158873|T158873|18907",1,2,2,1,0,1,0,0,2,1,1,3,0,1,3,2,2,1,2,0,4,0,0,1,0,3,4,3,1,3,1,0,0,0,4,2,1,2,1,2,2,2,1,1,1,7,4,1,0,0,5,3,14,1,1,1,0,0,1,1,5,0,1,0,0,0,0,0,7,2,1,0,1,2,0,1,0,3,1,0,0,4,1,0,5,2,0,1,0,2,3,2,2,3,0,0,4,3,3,0,0,3,2,1,1,4,4,4,4,6,2,1,3,1,0,0,0,0,1,3,1,1,3,3,0,5,2,2,3,0,2,1,5,0,0,1,2,1,4,1,0,3,1,2,1,2,0,0,2,0,0,0,1,1,0,5,1,2,0,0,0,2,2,1,1,1,5,0,0,2,1,0,1,1,1,1,2,1,0,2,3,0,0,1,0,2,0,1,2,3,0
"T159176|T159176|45233",3,5,4,0,0,2,1,0,0,1,2,3,3,0,1,2,2,7,2,1,0,2,6,1,1,2,2,3,2,0,0,3,3,0,3,5,2,2,2,2,1,4,1,8,3,2,3,5,3,2,5,3,2,3,0,0,3,4,0,2,6,3,2,0,1,2,1,1,3,5,2,2,5,3,2,1,2,3,4,2,0,2,1,4,0,8,1,1,1,2,2,0,2,6,1,2,1,0,2,3,3,3,0,4,2,1,5,3,3,0,2,5,4,5,2,2,2,3,4,1,5,1,0,2,1,2,4,3,0,0,0,3,0,2,0,3,4,2,2,2,0,1,6,1,7,2,3,3,3,2,1,0,1,0,1,3,4,1,4,5,7,0,2,2,2,3,0,1,2,1,2,1,1,4,2,2,6,1,4,0,1,3,1,2,6,2,1,3,1,2,1
"T159427|T159427|68299",0,1,7,1,3,1,2,4,1,0,3,0,0,2,4,0,1,2,3,0,3,1,2,2,3,0,3,2,0,2,1,1,0,0,5,2,1,2,0,2,0,3,4,1,1,4,5,5,3,0,7,3,8,1,3,1,0,1,2,1,3,3,0,3,3,1,0,4,1,5,0,3,1,3,4,3,4,3,2,1,2,1,1,2,1,1,1,2,1,2,2,1,3,5,3,3,4,1,0,0,4,2,5,0,2,0,2,2,3,2,2,0,3,2,0,3,1,3,2,0,3,2,0,3,1,1,2,0,0,0,3,6,1,2,1,3,0,2,1,0,3,2,2,0,4,0,5,0,2,0,0,0,0,0,0,2,1,0,1,4,4,5,2,1,0,1,1,0,0,0,3,0,1,2,2,3,0,1,1,0,1,0,2,2,4,1,3,2,1,6,2
"T159690|T159690|4333",2,2,3,0,1,0,3,1,0,1,1,1,1,3,2,0,6,2,3,4,0,1,3,3,5,0,1,2,4,2,0,1,0,4,3,5,2,3,2,0,0,7,1,4,2,1,4,2,0,2,1,1,2,0,1,1,1,8,4,3,8,3,0,1,0,0,3,3,3,7,5,3,2,5,2,0,0,0,1,0,0,2,3,5,1,7,3,3,1,2,1,1,1,3,1,5,2,0,0,5,2,5,1,3,3,0,0,5,2,8,4,4,2,5,6,1,3,1,0,2,2,1,1,2,1,0,2,4,3,1,1,7,5,0,0,2,3,2,3,0,0,0,1,2,3,4,3,2,3,2,1,0,5,3,0,0,2,6,1,0,4,0,3,11,2,7,4,4,0,3,3,2,4,4,1,3,3,2,1,3,2,3,0,0,2,2,9,4,5,1,2
"T163778|T163778|13615",3,0,0,0,1,0,1,3,2,1,1,2,1,1,1,0,2,2,2,0,0,1,0,0,3,1,4,1,3,1,0,0,1,1,2,1,1,3,2,0,1,1,1,5,0,1,3,4,2,1,2,3,5,1,1,1,0,1,0,0,5,0,1,0,1,0,2,0,1,7,1,3,0,1,1,1,0,3,0,2,0,4,0,0,0,0,0,0,2,0,0,1,3,0,2,3,0,1,0,0,1,0,1,1,2,1,1,0,2,3,0,3,6,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,1,2,0,0,2,4,2,0,0,1,1,0,0,0,0,0,6,0,1,1,5,0,0,0,0,0,0,3,2,0,2,0,0,0,0,2,0,0,1,0,2,0,1,0,1,1,0,0,1,0,0,0,3,1,1,0,0,1,6,2,7,0,1
